RUN	RecordedSimulation	recordedsimulation	1587632571220	ma¤ana	3.3.1
USER	RecordedSimulation	1	START	1587632572538	1587632572538
REQUEST	1		request_0	1587632572571	1587632572585	OK	 
REQUEST	1		uniovi.jpg	1587632572655	1587632572661	OK	 
REQUEST	1		bundle.js	1587632572655	1587632572694	OK	 
REQUEST	1		request_1	1587632572656	1587632572698	OK	 
REQUEST	1		main.chunk.js	1587632572656	1587632572704	OK	 
REQUEST	1		request_5	1587632572698	1587632572705	OK	 
REQUEST	1		request_3	1587632572662	1587632572708	OK	 
REQUEST	1		request_4	1587632572695	1587632572710	OK	 
REQUEST	1		request_6	1587632572705	1587632572712	OK	 
REQUEST	1		request_8	1587632572709	1587632572714	OK	 
REQUEST	1		request_9	1587632572710	1587632572716	OK	 
REQUEST	1		request_7	1587632572705	1587632572718	OK	 
REQUEST	1		request_12	1587632572715	1587632572723	OK	 
REQUEST	1		request_13	1587632572717	1587632572724	OK	 
REQUEST	1		request_10	1587632572713	1587632572726	OK	 
REQUEST	1		0.chunk.js	1587632572656	1587632573219	OK	 
REQUEST	1		request_2	1587632572657	1587632573222	OK	 
USER	RecordedSimulation	2	START	1587632573550	1587632573550
REQUEST	2		request_0	1587632573550	1587632573562	OK	 
REQUEST	2		uniovi.jpg	1587632573565	1587632573569	OK	 
REQUEST	2		bundle.js	1587632573566	1587632573604	OK	 
REQUEST	2		request_1	1587632573567	1587632573607	OK	 
REQUEST	2		request_5	1587632573607	1587632573610	OK	 
REQUEST	2		request_3	1587632573570	1587632573612	OK	 
REQUEST	2		request_4	1587632573605	1587632573614	OK	 
REQUEST	2		main.chunk.js	1587632573567	1587632573616	OK	 
REQUEST	2		request_7	1587632573613	1587632573618	OK	 
REQUEST	2		request_6	1587632573611	1587632573620	OK	 
REQUEST	2		request_10	1587632573618	1587632573622	OK	 
REQUEST	2		request_8	1587632573615	1587632573623	OK	 
REQUEST	2		request_9	1587632573617	1587632573624	OK	 
REQUEST	2		request_13	1587632573622	1587632573625	OK	 
REQUEST	2		request_12	1587632573620	1587632573625	OK	 
REQUEST	2		0.chunk.js	1587632573566	1587632574174	OK	 
REQUEST	2		request_2	1587632573568	1587632574176	OK	 
USER	RecordedSimulation	3	START	1587632574546	1587632574546
REQUEST	3		request_0	1587632574547	1587632574556	OK	 
REQUEST	3		uniovi.jpg	1587632574559	1587632574563	OK	 
REQUEST	3		bundle.js	1587632574559	1587632574600	OK	 
REQUEST	3		request_1	1587632574561	1587632574601	OK	 
REQUEST	3		request_5	1587632574602	1587632574605	OK	 
REQUEST	3		request_4	1587632574600	1587632574607	OK	 
REQUEST	3		main.chunk.js	1587632574560	1587632574609	OK	 
REQUEST	3		request_3	1587632574563	1587632574610	OK	 
REQUEST	3		request_6	1587632574606	1587632574611	OK	 
REQUEST	3		request_7	1587632574608	1587632574612	OK	 
REQUEST	3		request_8	1587632574609	1587632574613	OK	 
REQUEST	3		request_9	1587632574610	1587632574615	OK	 
REQUEST	3		request_10	1587632574611	1587632574617	OK	 
REQUEST	3		request_12	1587632574612	1587632574617	OK	 
REQUEST	3		request_13	1587632574614	1587632574618	OK	 
REQUEST	3		0.chunk.js	1587632574560	1587632575108	OK	 
REQUEST	3		request_2	1587632574561	1587632575115	OK	 
USER	RecordedSimulation	4	START	1587632575546	1587632575546
REQUEST	4		request_0	1587632575547	1587632575555	OK	 
REQUEST	4		uniovi.jpg	1587632575557	1587632575561	OK	 
REQUEST	4		bundle.js	1587632575558	1587632575597	OK	 
REQUEST	4		request_1	1587632575559	1587632575599	OK	 
REQUEST	4		request_5	1587632575599	1587632575603	OK	 
REQUEST	4		request_3	1587632575562	1587632575604	OK	 
REQUEST	4		main.chunk.js	1587632575559	1587632575606	OK	 
REQUEST	4		request_4	1587632575598	1587632575607	OK	 
REQUEST	4		request_6	1587632575603	1587632575608	OK	 
REQUEST	4		request_7	1587632575604	1587632575613	OK	 
REQUEST	4		request_8	1587632575606	1587632575615	OK	 
REQUEST	4		request_9	1587632575608	1587632575617	OK	 
REQUEST	4		request_10	1587632575608	1587632575617	OK	 
REQUEST	4		request_12	1587632575613	1587632575618	OK	 
REQUEST	4		request_13	1587632575615	1587632575619	OK	 
REQUEST	4		0.chunk.js	1587632575558	1587632576090	OK	 
REQUEST	4		request_2	1587632575560	1587632576100	OK	 
USER	RecordedSimulation	5	START	1587632576551	1587632576551
REQUEST	5		request_0	1587632576552	1587632576562	OK	 
REQUEST	5		uniovi.jpg	1587632576565	1587632576568	OK	 
REQUEST	5		bundle.js	1587632576565	1587632576604	OK	 
REQUEST	5		request_1	1587632576566	1587632576606	OK	 
REQUEST	5		request_5	1587632576606	1587632576609	OK	 
REQUEST	5		request_4	1587632576604	1587632576612	OK	 
REQUEST	5		main.chunk.js	1587632576566	1587632576614	OK	 
REQUEST	5		request_3	1587632576569	1587632576615	OK	 
REQUEST	5		request_6	1587632576610	1587632576617	OK	 
REQUEST	5		request_7	1587632576613	1587632576619	OK	 
REQUEST	5		request_8	1587632576615	1587632576621	OK	 
REQUEST	5		request_9	1587632576616	1587632576622	OK	 
REQUEST	5		request_10	1587632576617	1587632576623	OK	 
REQUEST	5		request_12	1587632576620	1587632576624	OK	 
REQUEST	5		request_13	1587632576621	1587632576625	OK	 
REQUEST	5		0.chunk.js	1587632576565	1587632577106	OK	 
REQUEST	5		request_2	1587632576567	1587632577112	OK	 
USER	RecordedSimulation	6	START	1587632578552	1587632578552
REQUEST	6		request_0	1587632578553	1587632578559	OK	 
REQUEST	6		uniovi.jpg	1587632578561	1587632578565	OK	 
REQUEST	6		bundle.js	1587632578562	1587632578600	OK	 
REQUEST	6		request_1	1587632578563	1587632578602	OK	 
REQUEST	6		main.chunk.js	1587632578562	1587632578607	OK	 
REQUEST	6		request_5	1587632578602	1587632578608	OK	 
REQUEST	6		request_4	1587632578600	1587632578609	OK	 
REQUEST	6		request_3	1587632578565	1587632578611	OK	 
REQUEST	6		request_6	1587632578607	1587632578612	OK	 
REQUEST	6		request_7	1587632578608	1587632578613	OK	 
REQUEST	6		request_9	1587632578611	1587632578614	OK	 
REQUEST	6		request_8	1587632578609	1587632578615	OK	 
REQUEST	6		request_10	1587632578613	1587632578616	OK	 
REQUEST	6		request_12	1587632578613	1587632578618	OK	 
REQUEST	6		request_13	1587632578615	1587632578618	OK	 
REQUEST	6		0.chunk.js	1587632578562	1587632579116	OK	 
REQUEST	6		request_2	1587632578563	1587632579117	OK	 
USER	RecordedSimulation	7	START	1587632579527	1587632579527
REQUEST	7		request_0	1587632579528	1587632579536	OK	 
REQUEST	7		uniovi.jpg	1587632579538	1587632579542	OK	 
REQUEST	7		bundle.js	1587632579538	1587632579576	OK	 
REQUEST	7		request_1	1587632579540	1587632579578	OK	 
